iter	Logloss
0	0.6790211848
1	0.6665947571
2	0.6552372919
3	0.6447673313
4	0.6352410356
5	0.6265763124
6	0.6188243261
7	0.6115544091
8	0.6047760376
9	0.598543068
10	0.5927341245
11	0.5875079389
12	0.5826792124
13	0.5780613792
14	0.573782233
15	0.5697765168
16	0.5660604458
17	0.5627579079
18	0.5596972849
19	0.5568316966
20	0.5527505229
21	0.5489644363
22	0.5454791037
23	0.5421314141
24	0.5389502047
25	0.536028045
26	0.5332660874
27	0.5309217677
28	0.5287699245
29	0.5265855041
30	0.5245083592
31	0.522671325
32	0.5209206185
33	0.5192388392
34	0.5176414108
35	0.5161919004
36	0.5149534264
37	0.5135911861
38	0.5124286187
39	0.5113980355
40	0.5103768671
41	0.5092573597
42	0.5083965201
43	0.5075633646
44	0.5067885411
45	0.5060320071
46	0.5053402301
47	0.5047309574
48	0.5040913648
49	0.50334774
50	0.5028958393
51	0.5024704693
52	0.5020233732
53	0.5016030265
54	0.5013566332
55	0.5010124924
56	0.5004407904
57	0.4999768003
58	0.4997618528
59	0.4993630117
60	0.4990814682
61	0.4987638746
62	0.4982903031
63	0.4980390838
64	0.4975954568
65	0.4971812885
66	0.4969399874
67	0.4966792959
68	0.4964889258
69	0.4961158464
70	0.4958902078
71	0.4957217379
72	0.4954533068
73	0.4951793646
74	0.4950613563
75	0.4948065846
76	0.4946402729
77	0.4944959034
78	0.4943118642
79	0.4941113153
80	0.4939911337
81	0.4937980986
82	0.493584998
83	0.4934080195
84	0.4932327609
85	0.4930158946
86	0.4928985005
87	0.4927412049
88	0.4926144329
89	0.4924337288
90	0.492194876
91	0.4920586338
92	0.4919194749
93	0.4918498107
94	0.4916967392
95	0.4915672543
96	0.4914583326
97	0.4912499626
98	0.4911922332
99	0.4910862092
