iter	Passed	Remaining
0	211	20973
1	319	15652
2	430	13934
3	534	12817
4	643	12222
5	753	11803
6	867	11526
7	976	11225
8	1085	10978
9	1197	10776
10	1306	10573
11	1416	10388
12	1525	10207
13	1634	10042
14	1746	9897
15	1833	9626
16	1942	9481
17	2051	9345
18	2161	9215
19	2271	9085
20	2384	8969
21	2457	8713
22	2564	8586
23	2678	8483
24	2782	8348
25	2894	8236
26	3003	8121
27	3114	8009
28	3228	7904
29	3337	7787
30	3446	7671
31	3554	7554
32	3628	7367
33	3739	7258
34	3852	7153
35	3960	7040
36	4070	6931
37	4181	6822
38	4292	6714
39	4404	6607
40	4514	6496
41	4624	6386
42	4732	6273
43	4844	6165
44	4952	6052
45	5061	5941
46	5171	5831
47	5280	5720
48	5390	5610
49	5499	5499
50	5612	5392
51	5718	5278
52	5829	5169
53	5937	5058
54	6011	4918
55	6118	4807
56	6232	4701
57	6343	4593
58	6410	4454
59	6517	4345
60	6624	4235
61	6733	4127
62	6844	4019
63	6951	3910
64	7061	3802
65	7173	3695
66	7282	3587
67	7390	3478
68	7500	3369
69	7609	3261
70	7720	3153
71	7827	3044
72	7939	2936
73	8047	2827
74	8155	2718
75	8264	2609
76	8373	2501
77	8481	2392
78	8591	2283
79	8702	2175
80	8807	2066
81	8917	1957
82	9026	1848
83	9135	1740
84	9243	1631
85	9350	1522
86	9461	1413
87	9570	1305
88	9677	1196
89	9787	1087
90	9900	979
91	10008	870
92	10117	761
93	10224	652
94	10339	544
95	10449	435
96	10556	326
97	10675	217
98	10784	108
99	10892	0
